row,var,var_label,var_descr,unit,x1_value,x2_value,x3_value,x4_value,x1_label,x2_label,x3_label,x4_label,x1_hyperlink,x2_hyperlink,x3_hyperlink,x4_hyperlink
21,NOISE,BRUIT,Bruit nocturne (routier et ferroviaire),[dB(A)],30.0,40.0,55.0,65,Slice effect,Effect,Dangerous situation,LPE,"<a href=""https://apps.who.int/iris/handle/10665/326486""><b>","<a href=""https://apps.who.int/iris/handle/10665/326486""><b>","<a href=""https://apps.who.int/iris/handle/10665/326486""><b>","<a href=""https://www.bafu.admin.ch/bafu/fr/home/themes/bruit/info-specialistes/exposition-au-bruit/valeurs-limites-pour-le-bruit/valeurs-limites-dexposition-au-bruit.html""><b>"
22,LST,LST,Température de surface,[°C],25.0,30.0,35.0,40,25°C,30°C,35°C,40°C,"<a href=""https://www.meteosuisse.admin.ch/climat/climat-de-la-suisse/chaleur-en-milieu-urbain.html""><b>","<a href=""https://www.meteosuisse.admin.ch/climat/climat-de-la-suisse/chaleur-en-milieu-urbain.html""><b>","<a href=""https://www.meteosuisse.admin.ch/climat/climat-de-la-suisse/chaleur-en-milieu-urbain.html""><b>","<a href=""https://www.meteosuisse.admin.ch/climat/climat-de-la-suisse/chaleur-en-milieu-urbain.html""><b>"
23,RP0014,POPULATION <14 ANS,Part de la population <14 ans,[%],20.0,40.0,60.0,80,20%,40%,60%,80%,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
24,RP1524,POPULATION 15-24 ANS,Part de la population 15-24 ans,[%],20.0,40.0,60.0,80,20%,40%,60%,80%,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
25,RP2564,POPULATION 25-64 ANS,Part de la population 25-64 ans,[%],20.0,40.0,60.0,80,20%,40%,60%,80%,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
26,RP65M,POPULATION >65 ANS,Part de la population >65 ans,[%],20.0,40.0,60.0,80,20%,40%,60%,80%,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
27,RP80M,POPULATION >80 ANS,Part de la population >80 ans,[%],20.0,40.0,60.0,80,20%,40%,60%,80%,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
28,RP0014_M,HOMMES <14 ANS,Part des hommes <14 ans,[%],20.0,40.0,60.0,80,20%,40%,60%,80%,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
29,RP1524_M,HOMMES 15-24 ANS,Part des hommes 15-24 ans,[%],20.0,40.0,60.0,80,20%,40%,60%,80%,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
30,RP2564_M,HOMMES 25-64 ANS,Part des hommes 25-64 ans,[%],20.0,40.0,60.0,80,20%,40%,60%,80%,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
31,RP65M_M,HOMMES >65 ANS,Part des hommes >65 ans,[%],20.0,40.0,60.0,80,20%,40%,60%,80%,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
32,RP80M_M,HOMMES >80 ANS,Part des hommes >80 ans,[%],20.0,40.0,60.0,80,20%,40%,60%,80%,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
33,RP0014_F,FEMMES <14 ANS,Part des femmes <14 ans,[%],20.0,40.0,60.0,80,20%,40%,60%,80%,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
34,RP1524_F,FEMMES 15-24 ANS,Part des femmes 15-24 ans,[%],20.0,40.0,60.0,80,20%,40%,60%,80%,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
35,RP2564_F,FEMMES 25-64 ANS,Part des femmes 25-64 ans,[%],20.0,40.0,60.0,80,20%,40%,60%,80%,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
36,RP65M_F,FEMMES >65 ANS,Part des femmes >65 ans,[%],20.0,40.0,60.0,80,20%,40%,60%,80%,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
37,RP80M_F,FEMMES >80 ANS,Part des femmes >80 ans,[%],20.0,40.0,60.0,80,20%,40%,60%,80%,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
38,R_FFB,IMMIGRATION,Population étrangère (non naturalisée),[%],20.0,40.0,60.0,80,20%,40%,60%,80%,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
39,R_NN_FRA,NON FRANCOPHONES,Population non francophone,[%],20.0,40.0,60.0,80,20%,40%,60%,80%,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
40,R_NN_POBL,SANS FORMATION POSTOBL.,Population sans formation postobligatoire,[%],20.0,40.0,60.0,80,20%,40%,60%,80%,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
41,R_DIS,HANDICAPÉS,Personnes handicapées,[%],20.0,40.0,60.0,80,20%,40%,60%,80%,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
42,R_UNEMP,CHÔMAGE,Population sans emploi,[%],20.0,40.0,60.0,80,20%,40%,60%,80%,"<a href=""""><b>","<a href=""""><b>","<a href=""""><b>","<a href=""""><b>"
