row,var,var_label,var_descr,unit,x1_value,x2_value,x3_value,x4_value,x1_label,x2_label,x3_label,x4_label,x1_hyperlink,x2_hyperlink,x3_hyperlink,x4_hyperlink
28,RP80M,POPULATION >80 ANS,Part de la population >80 ans,[%],20.0,40.0,60.0,80.0,20%,40%,60%,80%, , , , 
29,RP0014_M,HOMMES <14 ANS,Part des hommes <14 ans,[%],20.0,40.0,60.0,80.0,20%,40%,60%,80%, , , , 
30,RP1524_M,HOMMES 15-24 ANS,Part des hommes 15-24 ans,[%],20.0,40.0,60.0,80.0,20%,40%,60%,80%, , , , 
31,RP2564_M,HOMMES 25-64 ANS,Part des hommes 25-64 ans,[%],20.0,40.0,60.0,80.0,20%,40%,60%,80%, , , , 
32,RP65M_M,HOMMES >65 ANS,Part des hommes >65 ans,[%],20.0,40.0,60.0,80.0,20%,40%,60%,80%, , , , 
33,RP80M_M,HOMMES >80 ANS,Part des hommes >80 ans,[%],20.0,40.0,60.0,80.0,20%,40%,60%,80%, , , , 
34,RP0014_F,FEMMES <14 ANS,Part des femmes <14 ans,[%],20.0,40.0,60.0,80.0,20%,40%,60%,80%, , , , 
35,RP1524_F,FEMMES 15-24 ANS,Part des femmes 15-24 ans,[%],20.0,40.0,60.0,80.0,20%,40%,60%,80%, , , , 
36,RP2564_F,FEMMES 25-64 ANS,Part des femmes 25-64 ans,[%],20.0,40.0,60.0,80.0,20%,40%,60%,80%, , , , 
37,RP65M_F,FEMMES >65 ANS,Part des femmes >65 ans,[%],20.0,40.0,60.0,80.0,20%,40%,60%,80%, , , , 
38,RP80M_F,FEMMES >80 ANS,Part des femmes >80 ans,[%],20.0,40.0,60.0,80.0,20%,40%,60%,80%, , , , 
39,R_PLA,POPULATION VIVANT SEULE,Population de 15 ans et plus vivant seule,[%],5.0,15.0,30.0,60.0,5%,15%,30%,60%, , , , 
40,AVG_PPH,PERSONNES PAR MÉNAGE,Nombre moyen de personnes par ménage,[#],3.0,6.0,20.0,50.0,3 p.,6 p.,20 p.,50 p., , , , 
41,MEDREV,REVENUS PAR MÉNAGE,Revenu annuel médian par ménage,[kCH],44.623670297533856,52.777685692667774,74.3727838292231,104.601917355208,Risque pauvreté,25% VD,50% VD,75% VD,"<a href=""https://www.bfs.admin.ch/bfs/fr/home/statistiques/situation-economique-sociale-population/bien-etre-pauvrete/pauvrete-et-privations-materielles/risque-de-pauvrete.html""><b>", , , 
42,R_DIV_WID,DIVORCÉS / VEUFS,Population de 15 ans et plus divorcée ou veuve,[%],5.0,15.0,30.0,60.0,5%,15%,30%,60%, , , , 
43,R_FFB,IMMIGRATION,Population étrangère (non naturalisée),[%],20.0,40.0,60.0,80.0,20%,40%,60%,80%, , , , 
44,R_NN_FRA,NON FRANCOPHONES,Population non francophone,[%],20.0,40.0,60.0,80.0,20%,40%,60%,80%, , , , 
45,R_NN_POBL,SANS FORMATION POSTOBL.,Population de 15 ans et plus sans formation postobligatoire,[%],20.0,40.0,60.0,80.0,20%,40%,60%,80%, , , , 
46,R_DIS,HANDICAPÉS,Population handicapée,[%],1.0,5.0,10.0,20.0,1%,5%,10%,20%, , , , 
47,R_UNEMP,CHÔMAGE,Taux de chômage des 15 ans et plus,[%],2.0,5.0,10.0,20.0,2%,5%,10%,20%, , , , 
48,ENV_INDEX,INDICE ENVIRONNEMENTAL,Exposition aux nuisances et pollutions environnementales - indice composite,[-],1.99,2.99,3.99,4.99,faible,moyen,fort,très fort, , , , 
49,HEALTHCARE_INDEX,INDICE ACCÈS SANTÉ,Éloignement aux services de santé - indice composite,[-],1.99,2.99,3.99,4.99,faible,moyen,fort,très fort, , , , 
50,SOC_ECO_INDEX,INDICE SOCIAL ET ECONOMIQUE,Vulnérabilité socio-économique - indice composite,[-],1.99,2.99,3.99,4.99,faible,moyen,fort,très fort, , , , 
